fname,codec,effort,quality,outname,size,enc_time,perf,dssim
munhell,libavif,5,10,munhell.s5.q10,20427,0.37214016914367676,0.42260151695497833,0.002127
munhell,webp,5,10,munhell.q97.5,17664,0.03204751014709473,4.907307908731783,0.002141
munhell,libavif,7,10,munhell.s7.q10,24763,0.15972471237182617,0.9846128233049822,0.0022860000000000003
munhell,webp,7,10,munhell.q97,17404,0.03237628936767578,4.857474499749625,0.002341
munhell,libavif,5,12,munhell.s5.q12,19683,0.4067516326904297,0.38664134907036174,0.002624
munhell,webp,5,12,munhell.q96,16944,0.02955150604248047,5.321793067802627,0.002733
munhell,libavif,7,12,munhell.s7.q12,23706,0.15506458282470703,1.0142032251025541,0.002869
munhell,webp,7,12,munhell.q96,16944,0.02955150604248047,5.321793067802627,0.002733
munhell,libavif,5,14,munhell.s5.q14,19076,0.4123826026916504,0.38136186874399447,0.00325
munhell,webp,5,14,munhell.q95,16442,0.03140711784362793,5.007368099900555,0.003146
munhell,libavif,7,14,munhell.s7.q14,22962,0.14350390434265137,1.0959074648205098,0.0035240000000000002
munhell,webp,7,14,munhell.q94.5,16014,0.032376766204833984,4.857402960043594,0.003867
munhell,libavif,5,16,munhell.s5.q16,18516,0.3751370906829834,0.4192254082732155,0.0035889999999999997
munhell,webp,5,16,munhell.q94.5,16014,0.032376766204833984,4.857402960043594,0.003867
munhell,libavif,7,16,munhell.s7.q16,22002,0.14362692832946777,1.094968762676892,0.004416
munhell,webp,7,16,munhell.q93.5,15536,0.02926182746887207,5.374476360620208,0.004381
munhell,libavif,5,18,munhell.s5.q18,18091,0.3691561222076416,0.4260175858915894,0.004174
munhell,webp,5,18,munhell.q93.5,15536,0.02926182746887207,5.374476360620208,0.004381
munhell,libavif,7,18,munhell.s7.q18,21256,0.14493846893310547,1.0850604477723895,0.005627
munhell,webp,7,18,munhell.q91.5,14762,0.028427600860595703,5.532193897445359,0.00544
munhell,libavif,5,20,munhell.s5.q20,17706,0.3886277675628662,0.40467257650229477,0.0048720000000000005
munhell,webp,5,20,munhell.q92.5,15172,0.03321051597595215,4.7354578927312545,0.00474
munhell,libavif,7,20,munhell.s7.q20,20647,0.16753482818603516,0.9387122767414458,0.006631
munhell,webp,7,20,munhell.q90.5,14264,0.03304862976074219,4.7586541753332945,0.006847
munhell,libavif,5,22,munhell.s5.q22,17393,0.4292032718658447,0.3664161256654089,0.005523
munhell,webp,5,22,munhell.q91.5,14762,0.028427600860595703,5.532193897445359,0.00544
munhell,libavif,7,22,munhell.s7.q22,19999,0.16362595558166504,0.9611372440328313,0.008351
munhell,webp,7,22,munhell.q89,13800,0.03464937210083008,4.53881240740384,0.008309
munhell,libavif,5,24,munhell.s5.q24,17020,0.3809230327606201,0.41285768114428995,0.006566000000000001
munhell,webp,5,24,munhell.q90.5,14264,0.03304862976074219,4.7586541753332945,0.006847
munhell,libavif,7,24,munhell.s7.q24,19638,0.14408588409423828,1.0914809662904985,0.009609
munhell,webp,7,24,munhell.q88,13418,0.030236005783081055,5.201315316853153,0.009627
munhell,libavif,5,26,munhell.s5.q26,16437,0.37822985649108887,0.4157974239765105,0.009422999999999999
munhell,webp,5,26,munhell.q88,13418,0.030236005783081055,5.201315316853153,0.009627
munhell,libavif,7,26,munhell.s7.q26,19168,0.14341449737548828,1.0965906716406992,0.011686
munhell,webp,7,26,munhell.q86,13064,0.0279390811920166,5.628925264905918,0.011712
munhell,libavif,5,28,munhell.s5.q28,16089,0.37887144088745117,0.4150933087794238,0.011845000000000001
munhell,webp,5,28,munhell.q86,13064,0.0279390811920166,5.628925264905918,0.011712
munhell,libavif,7,28,munhell.s7.q28,18482,0.14318275451660156,1.0983655156722483,0.016332
munhell,webp,7,28,munhell.q82.5,12398,0.028969287872314453,5.428749256563462,0.016322
munhell,libavif,5,30,munhell.s5.q30,15626,0.3845226764678955,0.40899278410471196,0.016615
munhell,webp,5,30,munhell.q82.5,12398,0.028969287872314453,5.428749256563462,0.016322
munhell,libavif,7,30,munhell.s7.q30,17936,0.16290545463562012,0.9653881777732246,0.022459
munhell,webp,7,30,munhell.q78,11678,0.03521442413330078,4.465982445280974,0.022741
munhell,libavif,5,32,munhell.s5.q32,15159,0.4471404552459717,0.3517172247666285,0.023936000000000002
munhell,webp,5,32,munhell.q77,11578,0.03607320785522461,4.359662180063713,0.023957000000000003
munhell,libavif,7,32,munhell.s7.q32,17354,0.17120742797851562,0.9185757992914596,0.03093
munhell,webp,7,32,munhell.q71,11088,0.03347134590148926,4.698556205742615,0.030831
munhell,libavif,5,34,munhell.s5.q34,14734,0.3932650089263916,0.39990082115196796,0.028866
munhell,webp,5,34,munhell.q74.5,11228,0.027953386306762695,5.626044668582882,0.029383000000000003
munhell,libavif,7,34,munhell.s7.q34,16630,0.1478104591369629,1.0639774811488447,0.042984
munhell,webp,7,34,munhell.q57,10582,0.030643701553344727,5.132114987030164,0.042953000000000005
munhell,libavif,5,36,munhell.s5.q36,14257,0.3972911834716797,0.395848200369668,0.041108
munhell,webp,5,36,munhell.q60.5,10662,0.028255462646484375,5.565897184825165,0.041057
munhell,libavif,7,36,munhell.s7.q36,16126,0.14235854148864746,1.1047247208032223,0.053027
munhell,webp,7,36,munhell.q48.5,10246,0.02738046646118164,5.743766280350394,0.053640999999999994
munhell,libavif,5,38,munhell.s5.q38,13947,0.39614272117614746,0.3969958088162629,0.048498
munhell,webp,5,38,munhell.q53.5,10468,0.03118753433227539,5.0426237074229805,0.048748
munhell,libavif,7,38,munhell.s7.q38,15806,0.1659984588623047,0.9474003618940379,0.067813
munhell,webp,7,38,munhell.q39.5,9928,0.032074689865112305,4.903149513257167,0.066789
munhell,libavif,5,40,munhell.s5.q40,13588,0.44470763206481934,0.3536413334527103,0.063305
munhell,webp,5,40,munhell.q41,10002,0.028988122940063477,5.425221920203972,0.063205
munhell,libavif,7,40,munhell.s7.q40,15265,0.14000558853149414,1.123290874668356,0.08797100000000001
munhell,webp,7,40,munhell.q32.5,9624,0.027254104614257812,5.770396871439568,0.08720699999999999
munhell,libavif,5,42,munhell.s5.q42,13183,0.38543009757995605,0.4080298891743282,0.081709
munhell,webp,5,42,munhell.q33.5,9678,0.028483867645263672,5.521265649686113,0.07965900000000001
